profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows
1,0.27,0,0,0,53,0,0,32,1000,955
1,0,2,0,0,44,0,0,286,2740,533
1,0.1,2,0,0,0,0,1,13,159,98
1,0,1,0,0,82,0,0,679,414,651
1,0,2,0,0,0,0,1,6,151,126
1,0,4,0,0,81,1,0,344,669987,150
1,0,2,0,0,50,0,0,16,122,177
1,0,2,0,0,0,0,0,33,1078,76
1,0,0,0,0,71,0,0,72,1824,2713
1,0,2,0,0,40,1,0,213,12945,813
1,0,2,0,0,54,0,0,648,9884,1173
1,0,2,0,0,54,1,0,76,1188,365
1,0,2,0,0,0,1,0,298,945,583
1,0,2,0,0,103,1,0,117,12033,248
1,0,2,0,0,98,1,0,487,1962,2701
1,0,3,0,0,46,0,0,254,50374,900
1,0,3,0,0,0,0,0,59,7007,289
1,0.29,3,0,0,48,0,0,1570,1128,694
1,0,2,0,0,63,1,0,378,34670,1878
1,0,2,0,0,106,1,0,526,2338,776
1,0,2,0,0,40,0,0,228,3516,999
1,0,1,0,0,35,1,1,35,1809,416
1,0,2,0,0,30,0,0,281,427,470
1,0,1,0,0,27,0,0,285,759,956
1,0,0,0,0,0,0,0,148,15338538,61
1,0,1,0,0,109,1,1,57,109,179
1,0,6,0,0,0,0,1,17,536,665
1,0,2,0,0,132,1,0,511,121354,176
1,0,2,0,0,126,1,0,230,2284,130
1,0,2,0,0,122,0,1,15,186,174
1,0,2,0,0,138,0,1,980,687,1517
1,0.13,0,0,0,0,0,1,53,966,952
1,0,2,0,0,50,0,1,111,177,170
1,0,2,0,0,35,0,0,719,744,967
1,0,2,0,0,56,1,0,1164,542073,674
1,0.18,2,0,0,9,0,0,497,5315651,2703
1,0.33,0,0,0,0,0,1,18,267,328
1,0,2,0,0,81,0,0,50,691,680
1,0,2,0,0,134,0,1,74,120,112
1,0,2,0,0,0,0,0,8,105,98
1,0,0,0,0,2,0,0,7389,890969,11
1,0,2,0,0,0,1,0,420,361853,583
1,0,2,0,0,23,0,0,433,3678,1359
1,0,2,0,0,138,1,0,156,92192,16
1,0,4,0,0,35,0,0,4494,12397719,8
1,0,3,0,0,93,0,0,751,380510,0
1,0,2,0,0,4,0,1,4,132,183
1,0,2,0,0,1,0,1,27,162,208
1,0,1,0,0,4,0,0,91,369,546
1,0,0,0,0,23,0,0,262,1476,666
1,0,3,0,0,91,1,0,274,1798,461
1,0,2,0,0,57,0,0,271,2118,1109
1,0,1,0,0,108,1,0,713,812,432
1,0,2,0.12,0,30,1,0,200,7217,761
1,0,0,0,0,82,0,0,12,313,376
1,0.12,1,0,0,12,1,0,26,64,261
1,0,2,0,0,54,0,0,75,1759,643
1,0,1,0,0,0,0,1,94,404,283
1,0,1,0,0,12,0,0,63,1843,598
1,0.12,2,0,0,0,0,0,69,320377,228
1,0,1,0,0,3,0,0,12,108,97
1,0,1,0,0,39,1,0,63,384,447
1,0.19,2,0,0,0,0,0,19,60,100
1,0,1,0,0,68,1,0,100,802,151
1,0,2,0,0,129,1,0,661,51145,528
1,0,2,0,0,57,1,0,149,1582,1882
1,0,2,0,0,64,0,0,22,223,266
1,0,1,0,0,42,0,0,400,18842,744
1,0,2,0,0,71,1,0,149,10240,1255
1,0,3,0,0,0,0,0,122,539,639
1,0.33,2,0,0,70,0,0,74,399,452
1,0,1,0,0,74,0,0,13,581,568
1,0,1,0,0,8,0,1,8,166,163
1,0,2,0,0,35,0,0,77,417,362
1,0.2,2,0,0,0,0,1,5,266,324
1,0,1,0,0,0,0,1,3,33,37
1,0,2,0,0,28,0,1,106,494,998
1,0,2,0,0,18,0,1,14,178,245
1,0,3,0,0,28,0,0,172,470,288
1,0.33,1,0,0,36,0,0,111,807,675
1,0,2,0,0,2,0,0,38,162,256
1,0.06,2,0,0,11,0,1,19,417,395
1,0,3,0,0,70,1,0,227,17303,360
1,0,2,0,0,29,0,0,221,1439,629
1,0,2,0,0,24,1,0,580,91446,526
1,0,3,0,0,21,1,0,40,824,489
1,0,1,0,0,81,0,0,101,741,1440
1,0,1,0,0,34,1,1,157,1267,899
1,0,0,0,0,40,0,0,197,4594,1713
1,0,1,0,0,12,0,0,61,1135,899
1,0,2,0,0,0,0,1,698,1926,1410
1,0,2,0,0,59,0,1,49,1068,1925
1,0,1,0,0,15,0,1,85,815,748
1,0,2,0,0,54,0,0,77,565,469
1,0,1,0,0,16,0,0,58,2556,1074
1,0,2,0,0,73,0,1,232,1312,935
1,0,1,0,0,24,0,0,20,699,599
1,0,0,0,0,0,0,0,98,4328,418
1,0,0,0,0,26,1,0,559,2487,999
1,0,3,0,0,0,0,0,189,673,438
1,0,2,0,0,0,0,1,388,730,413
1,0,0,0,0,0,0,1,28,59,55
1,0,3,0,0,0,0,1,156,289,222
1,0,1,0,0,28,0,1,6,19,20
1,0,2,0,0,55,1,0,69,3551,173
1,0,1,0,0,140,1,0,775,19512,591
1,0,0,0,0,122,1,0,205,2756,638
1,0,2,0,0,113,1,0,209,5406,589
1,0,2,0,0,38,0,1,334,459,390
1,0,2,0,0,0,0,0,9,218,75
1,0,2,0,0,23,0,0,6,796,1155
1,0,1,0,0,0,0,0,416,1113,1854
1,0.2,1,0,0,89,0,1,13,138,208
1,0.44,1,0,0,30,0,1,33,205,164
1,0,1,0,0,0,0,0,1,331,333
1,0.1,1,0.1,0,0,0,0,711,748,4659
